"Year","TLB","TFR"
1960,61775,5.76
1961,59930,5.41
1962,58977,5.21
1963,59530,5.16
1964,58217,4.97
1965,55725,4.66
1966,54680,4.46
1967,50560,3.91
1968,47241,3.53
1969,44562,3.22
1970,45934,3.07
1971,47088,3.02
1972,49678,3.04
1973,48269,2.79
1974,43268,2.35
1975,39948,2.07
1976,42783,2.11
1977,38364,1.82
1978,39441,1.79
1979,40779,1.79
1980,41217,1.82
1981,42250,1.78
1982,42654,1.74
1983,40585,1.61
1984,41556,1.62
1985,42484,1.61
1986,38379,1.43
1987,43616,1.62
1988,52957,1.96
1989,47669,1.75
1990,51142,1.83
1991,49114,1.73
1992,49402,1.72
1993,50225,1.74
1994,49554,1.71
1995,48635,1.67
1996,48577,1.66
1997,47333,1.61
1998,43664,1.48
1999,43336,1.47
2000,46997,1.6
2001,41451,1.41
2002,40760,1.37
2003,37485,1.27
2004,37174,1.26
2005,37492,1.26
2006,38317,1.28
2007,39490,1.29
2008,39826,1.28
2009,39570,1.22
2010,37967,1.15
2011,39654,1.2
2012,42663,1.29
2013,39720,1.19
2014,42232,1.25
2015,42185,1.24
2016,41251,1.2
2017,39615,1.16
2018,39039,1.14
2019,39279,1.14
2020,38590,1.1
2021,38672,1.12
2022,35605,1.04
2023,33541,0.97
2024,33703,0.97
